split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical EM-MMIL,IV,Undetermined,I,8,2.7998098580150237e-06,6.7245652562969385e-06
test,Categorical EM-MMIL,IV,Oligodendrocytes,I,6,6.842211331851539e-11,2.0326633995554617e-10
test,Categorical EM-MMIL,IV,Fibroblasts,II_III,6,0.02137287764032873,0.06411856648977961
test,Categorical EM-MMIL,IV,B lymphocytes,II_III,195,0.016638927594743787,0.005174702958194817
test,Categorical EM-MMIL,IV,NK cells,II_III,34,0.009804406580559718,0.018840207991060638
test,Categorical EM-MMIL,IV,T lymphocytes,II_III,344,0.005879742415646054,0.012861919390434948
test,Categorical EM-MMIL,IV,Epithelial cells,II_III,267,0.002791762501007964,1e-12
test,Categorical EM-MMIL,IV,MAST cells,II_III,1,0.000202445409676,0.000202445409676
test,Categorical EM-MMIL,IV,Myeloid cells,II_III,160,0.00015662191554023308,1e-12
test,Categorical EM-MMIL,IV,Oligodendrocytes,II_III,6,1.7269991779859044e-07,5.180938831051441e-07
test,Categorical EM-MMIL,IV,Undetermined,II_III,8,2.5190049650744907e-09,6.044935688771429e-09
test,Categorical EM-MMIL,IV,Oligodendrocytes,IV,6,0.99999982723166,0.999999999998
test,Categorical EM-MMIL,IV,Undetermined,IV,8,0.999997197671137,0.999999999998
test,Categorical EM-MMIL,IV,MAST cells,IV,1,0.999772038921438,0.999772038921438
test,Categorical EM-MMIL,IV,Epithelial cells,IV,267,0.9971475859052465,0.999999999998
test,Categorical EM-MMIL,IV,Fibroblasts,IV,6,0.9786236291312619,0.999999999998
test,Categorical EM-MMIL,IV,Myeloid cells,IV,160,0.9695248354832579,0.999999999998
test,Categorical EM-MMIL,IV,NK cells,IV,34,0.9583866063259424,0.9999999999147509
test,Categorical EM-MMIL,IV,T lymphocytes,IV,344,0.8359563820968985,0.999999118648884
test,Categorical EM-MMIL,IV,B lymphocytes,IV,195,0.7359086860474512,0.9999993658777128
test,Categorical MCEM-MMIL,I,Myeloid cells,I,168,0.4588443889786319,0.9996944329127163
test,Categorical MCEM-MMIL,I,B lymphocytes,I,43,0.31204341679245695,0.9025785901323292
test,Categorical MCEM-MMIL,I,T lymphocytes,I,248,0.2895826411209916,0.8670513651198419
test,Categorical MCEM-MMIL,I,NK cells,I,81,0.15678961328547103,0.5473425570296595
test,Categorical MCEM-MMIL,I,Fibroblasts,I,31,0.10205805706085387,0.2304443001067321
test,Categorical MCEM-MMIL,I,MAST cells,I,35,0.08401367798713623,0.37315432949326655
test,Categorical MCEM-MMIL,I,Endothelial cells,I,29,0.003711107728409462,0.001468592885844316
test,Categorical MCEM-MMIL,I,Undetermined,I,2,1.0068275726081072e-08,1.8049970965698623e-08
test,Categorical MCEM-MMIL,I,Epithelial cells,I,109,9.999999999999998e-13,1e-12
test,Categorical MCEM-MMIL,I,Fibroblasts,II_III,31,0.7497097663307449,0.9931832526814138
test,Categorical MCEM-MMIL,I,Myeloid cells,II_III,168,0.12341248801964264,0.5738736668711848
test,Categorical MCEM-MMIL,I,NK cells,II_III,81,0.08158676410081071,0.2921874174842224
test,Categorical MCEM-MMIL,I,T lymphocytes,II_III,248,0.06783545731915842,0.18707058167661836
test,Categorical MCEM-MMIL,I,MAST cells,II_III,35,0.06606057238777617,0.16784309576523423
test,Categorical MCEM-MMIL,I,B lymphocytes,II_III,43,0.04910091557532053,0.025527627239595185
test,Categorical MCEM-MMIL,I,Endothelial cells,II_III,29,0.043223783487552174,0.14964555152051043
test,Categorical MCEM-MMIL,I,Undetermined,II_III,2,1.79890985796516e-11,3.158037744337288e-11
test,Categorical MCEM-MMIL,I,Epithelial cells,II_III,109,9.999999999999998e-13,1e-12
test,Categorical MCEM-MMIL,I,Epithelial cells,IV,109,0.9999999999979998,0.999999999998
test,Categorical MCEM-MMIL,I,Undetermined,IV,2,0.9999999899137352,0.9999999979090216
test,Categorical MCEM-MMIL,I,Endothelial cells,IV,29,0.9530651087840384,0.999999999998
test,Categorical MCEM-MMIL,I,MAST cells,IV,35,0.8499257496250875,0.9999999995609054
test,Categorical MCEM-MMIL,I,NK cells,IV,81,0.7616236226137183,0.9999834960095452
test,Categorical MCEM-MMIL,I,T lymphocytes,IV,248,0.64258190155985,0.999925588315333
test,Categorical MCEM-MMIL,I,B lymphocytes,IV,43,0.6388556676322226,0.9996555841982735
test,Categorical MCEM-MMIL,I,Myeloid cells,IV,168,0.41774312300172556,0.999999999998
test,Categorical MCEM-MMIL,I,Fibroblasts,IV,31,0.1482321766084013,0.5584844105620729
test,Categorical MCEM-MMIL,II_III,Endothelial cells,I,1,0.6630934511675216,0.6630934511675216
test,Categorical MCEM-MMIL,II_III,B lymphocytes,I,40,0.6372857248266672,0.993608415165753
