experiment_id,task_type,categorical_scheme,feature_method,n_components,model_backend,glmnet_alpha,seed,rho,label_strength,mcem_samples,model,aggregation,n_patients,n_early,n_advanced,auroc,multiclass_logloss,accuracy,balanced_accuracy,macro_f1,metric_name,metric_value
EXP037_categorical_three_stage_PCAk10_glmnet_ridge_seed2026,categorical,three_stage,PCA,10,glmnet,0.0,2026,,0.7,30,Categorical EM-MMIL,q90_prob,12,,,,1.1722233286953667,0.5,0.3999999999999999,0.4791666666666667,accuracy,0.5
EXP037_categorical_three_stage_PCAk10_glmnet_ridge_seed2026,categorical,three_stage,PCA,10,glmnet,0.0,2026,,0.7,30,Categorical MCEM-MMIL,q90_prob,12,,,,1.15829309977437,0.5,0.3999999999999999,0.4791666666666667,accuracy,0.5
EXP037_categorical_three_stage_PCAk10_glmnet_ridge_seed2026,categorical,three_stage,PCA,10,glmnet,0.0,2026,,0.7,30,Naive inherited-label classifier,q90_prob,12,,,,0.9568296180902368,0.5,0.3999999999999999,0.4821428571428571,accuracy,0.5
EXP038_categorical_three_stage_PCAk10_glmnet_elasticnet_seed2026,categorical,three_stage,PCA,10,glmnet,0.5,2026,,0.7,30,Categorical EM-MMIL,q90_prob,12,,,,1.185458130914962,0.5,0.3999999999999999,0.4791666666666667,accuracy,0.5
EXP038_categorical_three_stage_PCAk10_glmnet_elasticnet_seed2026,categorical,three_stage,PCA,10,glmnet,0.5,2026,,0.7,30,Categorical MCEM-MMIL,q90_prob,12,,,,1.2193879734259137,0.5,0.3999999999999999,0.4761904761904761,accuracy,0.5
EXP038_categorical_three_stage_PCAk10_glmnet_elasticnet_seed2026,categorical,three_stage,PCA,10,glmnet,0.5,2026,,0.7,30,Naive inherited-label classifier,q90_prob,12,,,,0.956229511452956,0.5,0.3999999999999999,0.4821428571428571,accuracy,0.5
EXP039_categorical_three_stage_PCAk10_glmnet_lasso_seed2026,categorical,three_stage,PCA,10,glmnet,1.0,2026,,0.7,30,Categorical EM-MMIL,q90_prob,12,,,,1.1979962827842583,0.5,0.3999999999999999,0.4791666666666667,accuracy,0.5
EXP039_categorical_three_stage_PCAk10_glmnet_lasso_seed2026,categorical,three_stage,PCA,10,glmnet,1.0,2026,,0.7,30,Categorical MCEM-MMIL,q90_prob,12,,,,1.2149412346666415,0.5,0.3999999999999999,0.4761904761904761,accuracy,0.5
EXP039_categorical_three_stage_PCAk10_glmnet_lasso_seed2026,categorical,three_stage,PCA,10,glmnet,1.0,2026,,0.7,30,Naive inherited-label classifier,q90_prob,12,,,,0.956233873841136,0.5,0.3999999999999999,0.4821428571428571,accuracy,0.5
EXP040_categorical_three_stage_PCAk10_xgboost_seed2026,categorical,three_stage,PCA,10,xgboost,,2026,,0.7,30,Categorical EM-MMIL,q99_prob,12,,,,1.0664817312985446,0.5,0.3999999999999999,0.4791666666666667,accuracy,0.5
