split,model,n_patients,logloss_mean_prob,logloss_median_prob,logloss_q90_prob,logloss_q99_prob
test,Deterministic EM-MMIL,11,1.4754025904048533,2.1188808330951354,1.1000937564147717,0.5166459155004417
test,MCEM-MMIL,11,1.4822571764541985,2.173363986001672,1.1456402210655867,0.520578024622992
test,Naive inherited-label classifier,11,0.5436369914196443,0.5585272960043597,0.6278151676145421,0.8166196976958466
train,Deterministic EM-MMIL,33,1.2018242693019479,2.025721293991294,0.8376376084937985,0.45758334616111285
train,MCEM-MMIL,33,1.197028201969375,2.0534389482233033,0.8005398822843102,0.4456809552338912
train,Naive inherited-label classifier,33,0.4741174051913335,0.4794317555180822,0.5809467863315448,0.7438631659371919
