split,model,aggregation,n_patients,n_early,n_advanced,auroc
test,Deterministic EM-MMIL,mean_prob,11,5,6,0.9
test,Deterministic EM-MMIL,q90_prob,11,5,6,0.9
test,Deterministic EM-MMIL,q99_prob,11,5,6,0.9
test,Deterministic EM-MMIL,prop_gt_0.5,11,5,6,0.8666666666666667
test,Deterministic EM-MMIL,median_prob,11,5,6,0.7666666666666666
test,Deterministic EM-MMIL,prop_gt_0.9,11,5,6,
test,MCEM-MMIL,mean_prob,11,5,6,0.9333333333333333
test,MCEM-MMIL,prop_gt_0.5,11,5,6,0.9333333333333333
test,MCEM-MMIL,q90_prob,11,5,6,0.9
test,MCEM-MMIL,q99_prob,11,5,6,0.8666666666666667
test,MCEM-MMIL,median_prob,11,5,6,0.7666666666666666
test,MCEM-MMIL,prop_gt_0.9,11,5,6,
test,Naive inherited-label classifier,q90_prob,11,5,6,1.0
test,Naive inherited-label classifier,mean_prob,11,5,6,0.9
test,Naive inherited-label classifier,median_prob,11,5,6,0.9
test,Naive inherited-label classifier,prop_gt_0.5,11,5,6,0.9
test,Naive inherited-label classifier,q99_prob,11,5,6,0.9
test,Naive inherited-label classifier,prop_gt_0.9,11,5,6,0.8333333333333333
train,Deterministic EM-MMIL,mean_prob,33,15,18,0.9185185185185185
train,Deterministic EM-MMIL,q90_prob,33,15,18,0.9166666666666666
train,Deterministic EM-MMIL,prop_gt_0.5,33,15,18,0.888888888888889
train,Deterministic EM-MMIL,q99_prob,33,15,18,0.8666666666666667
train,Deterministic EM-MMIL,prop_gt_0.9,33,15,18,0.8333333333333333
train,Deterministic EM-MMIL,median_prob,33,15,18,0.8203703703703703
train,MCEM-MMIL,mean_prob,33,15,18,0.9296296296296296
train,MCEM-MMIL,q90_prob,33,15,18,0.9111111111111111
train,MCEM-MMIL,q99_prob,33,15,18,0.8666666666666667
train,MCEM-MMIL,prop_gt_0.5,33,15,18,0.85
train,MCEM-MMIL,median_prob,33,15,18,0.8407407407407407
train,MCEM-MMIL,prop_gt_0.9,33,15,18,0.8333333333333333
train,Naive inherited-label classifier,mean_prob,33,15,18,0.9925925925925926
train,Naive inherited-label classifier,median_prob,33,15,18,0.9888888888888889
train,Naive inherited-label classifier,prop_gt_0.5,33,15,18,0.9851851851851852
train,Naive inherited-label classifier,q90_prob,33,15,18,0.9851851851851852
train,Naive inherited-label classifier,q99_prob,33,15,18,0.9592592592592593
train,Naive inherited-label classifier,prop_gt_0.9,33,15,18,0.9462962962962963
