iter,delta,mean_entropy,train_logloss_inherited,train_accuracy_inherited
1,0.09113766491968485,0.6056207159282182,0.7786601879989321,0.723404255319149
2,0.04735908768592491,0.4659310073348443,0.6711019000192291,0.7292252107587315
3,0.025868731118142276,0.384741895673315,0.6605208592943491,0.7322360497792051
4,0.015512334544327266,0.33521343073357546,0.6856234876874029,0.734845443596949
5,0.010299765831229534,0.30284806861557106,0.7266351510952181,0.7382577278201525
6,0.007482823718961326,0.280571155856932,0.7756383044809297,0.7414692894419912
7,0.005525182564211434,0.2648410932416377,0.8239957073307365,0.7454837414692894
8,0.004097423921596029,0.25366570012736633,0.8646819534616393,0.748896025692493
9,0.003414418233816121,0.24502919112097002,0.9004938589223647,0.753311922922521
10,0.0027727519521735192,0.2384532258611807,0.9290052326710815,0.7547169811320755
11,0.0023447090230998722,0.23339687591500283,0.9515243444025009,0.7549177037334404
12,0.002123503799779766,0.2294739314807765,0.9721613653913409,0.7563227619429947
13,0.0017918226755637928,0.22650824374677136,0.9898601391141538,0.7569249297470895
14,0.001409736354613982,0.22431087773251535,1.0035497518966512,0.7565234845443597
15,0.0011218504532303736,0.22261710589100955,1.0141933547584192,0.7567242071457246
16,0.0009226969923453805,0.22117339894624258,1.0231908228775626,0.7575270975511843
17,0.0007904327982240485,0.2198909250817458,1.031257879051269,0.7579285427539141
18,0.0007642448407650322,0.21862566652499896,1.0403812708168456,0.758329987956644
19,0.0009232000108257584,0.21732351589087712,1.0545004148879078,0.7593336009634685
20,0.0010878986614036143,0.21604842107283942,1.0748492082264098,0.7599357687675632
21,0.0008771970075498962,0.21503909895817128,1.0924740781830757,0.7611401043757527
22,0.0006509591618863659,0.21431184818867263,1.104390285453579,0.7617422721798475
23,0.0005559664340332052,0.21369100402453708,1.1132909425614117,0.7617422721798475
24,0.00048695632561995025,0.21319049081204175,1.1202487572086628,0.7619429947812124
25,0.0004089851595552758,0.21280728730607612,1.1251472895722234,0.7623444399839422
26,0.0003423012763168097,0.2125054078913195,1.1288211002714417,0.7625451625853071
27,0.0002823667404174804,0.21227489512422879,1.1314474744697964,0.7625451625853071
28,0.00024246488326263327,0.21209401483328366,1.1334429955944278,0.7631473303894019
29,0.00020433136481675412,0.21194427883963043,1.1350795653605619,0.7635487755921316
30,0.0001741265209383978,0.21181931723861452,1.136418032918306,0.7637494981934966
